127.0.0.1 - - [20/Nov/2019:14:29:58 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=11 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img23.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=6 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=7 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=9 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=8 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=10 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=12 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=16 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=17 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=15 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=18 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img26.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img06.jpg HTTP/1.1" 200 98084
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img09.png HTTP/1.1" 200 19441
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img10.jpg HTTP/1.1" 200 122222
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img08.jpg HTTP/1.1" 200 110809
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img17.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img18.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img16.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:52 +0900] "GET /std_1st/cafe_img/cafe_img07.jpg HTTP/1.1" 200 19914
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:55 +0900] "GET /std_1st/cafeDetail2.do?cafe_no=1&cust_no=0 HTTP/1.1" 200 82739
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:55 +0900] "GET /std_1st/cust_img/ HTTP/1.1" 404 149
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cust_img/ HTTP/1.1" 404 149
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cafeDetail2.do?cafe_no=1&cust_no=0 HTTP/1.1" 200 82739
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/images/chaeummain.png HTTP/1.1" 200 512828
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cust_img/ HTTP/1.1" 404 149
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/getCafeIMGS?cafe_no=1 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/reviewCount?cafe_no=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/inqCount?cafe_no=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/getGradeCnt?cafe_no=1 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/chkbox?cafe_no=1 HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/reviewList?cafe_no=1&start=1&end=5 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/inqAllList?cafe_no=1&start=1&end=5 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cust_img/ HTTP/1.1" 404 149
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/getCafeIMGS?cafe_no=1 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/reviewCount?cafe_no=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/inqCount?cafe_no=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/getGradeCnt?cafe_no=1 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cafe_img/cafe_detail_img3.jpg HTTP/1.1" 200 25350
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cafe_img/cafe_detail_img4.jpg HTTP/1.1" 200 18022
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cafe_img/cafe_detail_img1.jpg HTTP/1.1" 200 29313
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/inqAllList?cafe_no=1&start=1&end=5 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/chkbox?cafe_no=1 HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/cafe_img/cafe_detail_img2.jpg HTTP/1.1" 200 44168
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:56 +0900] "GET /std_1st/reviewList?cafe_no=1&start=1&end=5 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=63 HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=62 HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/cust_img/cat.png HTTP/1.1" 200 34531
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=61 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=60 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=59 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/cust_img/1574152715557KakaoTalk_20191119_172006987.jpg HTTP/1.1" 404 194
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/cust_img/default.png HTTP/1.1" 200 19470
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=63 HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=62 HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=61 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=60 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:57 +0900] "GET /std_1st/getReviewImg?review_no=59 HTTP/1.1" 200 159
